,name,rating,industry,headquarter,other_locations,highly_rated_for,critically_rated_for,reviews,salaries,interviews,jobs,benefits
9558,Supertron Electronics,4.4,IT Services & Consulting,Kolkata,24,"Job Security, Company Culture, Work Life Balance",,110,369,2,2,7
9559,Durovalves India,3.2,Auto Components,Aurangabad,3,"Company Culture, Work Satisfaction, Job Security",,110,373,7,--,11
9560,Microgen Hygiene,3.5,Healthcare,Mumbai,17,"Promotions / Appraisal, Company Culture",,110,300,13,3,10
9561,Applied Solar Technologies India,3.5,Internet,New Delhi,18,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",,110,447,9,--,6
9562,Biomerieux,3.3,Biotechnology,New Delhi,16,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,110,378,7,--,11
9563,Amalgamations Valeo Clutch,3.5,Auto Components,Chennai,5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,110,598,5,--,10
9564,RED CHIEF,4.0,Retail,Kanpur,40,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Salary & Benefits,110,303,6,--,14
9565,21K School,3.6,EdTech,Bangalore / Bengaluru,9,"Promotions / Appraisal, Job Security, Salary & Benefits",,110,246,8,4,4
9566,Glass Wall Systems,4.2,Engineering & Construction,Mumbai,9,"Company Culture, Work Satisfaction, Skill Development / Learning",,110,454,15,--,5
9567,Affinity Global Advertising,3.1,Marketing & Advertising,Pune,5,"Work Satisfaction, Company Culture, Promotions / Appraisal",,110,663,6,20,7
9568,Mobily Infotech,3.6,Telecom,Bangalore / Bengaluru,4,"Job Security, Company Culture","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",110,810,7,--,10
9569,Ray Business Technologies,3.6,IT Services & Consulting,Hyderabad / Secunderabad,3,Skill Development / Learning,"Job Security, Promotions / Appraisal",110,565,18,11,16
9570,Madhu Silica,3.9,Metals & Mining,Bhavnagar,2,Salary & Benefits,Job Security,110,558,6,--,8
9571,Indus Health Plus,3.1,Fitness & Wellness,Pune,17,"Promotions / Appraisal, Salary & Benefits, Company Culture",,110,443,4,7,17
9572,Freedom English Academy,4.0,Education & Training,New Delhi,15,"Skill Development / Learning, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",110,214,9,--,17
9573,Nalanda Learning Systems,2.4,Education & Training,Kolkata,8,"Job Security, Promotions / Appraisal, Work Satisfaction",,110,257,10,--,28
9574,Windals Precision,3.3,Auto Components,Pune,5,"Promotions / Appraisal, Salary & Benefits, Company Culture",,110,513,5,--,8
9575,Saleswallah,4.8,Education & Training,Gurgaon / Gurugram,1,"Company Culture, Work Life Balance, Work Satisfaction",,110,71,12,--,1
9576,Core Energy Systems Limited,3.9,Defence & Aerospace,Mumbai,19,Skill Development / Learning,Promotions / Appraisal,110,460,12,--,1
9577,India Kawasaki Motors Pvt. Ltd.,3.7,Automobile,Pune,8,Job Security,"Salary & Benefits, Promotions / Appraisal",110,681,9,--,8
9578,Faze Three,3.2,Fashion & Textile,Silvassa / Dadra,12,"Promotions / Appraisal, Job Security, Skill Development / Learning",,110,596,10,2,10
9579,Vardhman Acrylics,3.5,Fashion & Textile,Bharuch,10,"Work Life Balance, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",110,528,7,--,4
9580,Blue Consulting,3.8,Accounting & Auditing,Noida,8,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,110,334,9,11,10
9581,Idfy,3.3,Software Product,Mumbai,4,"Promotions / Appraisal, Work Satisfaction, Job Security",,110,811,16,50,4
9582,Raja Software Labs,3.2,IT Services & Consulting,Pune,1,"Work Life Balance, Job Security, Work Satisfaction",,110,640,44,18,9
9583,ATS Group,4.1,Engineering & Construction,Pune,13,"Company Culture, Work Life Balance, Work Satisfaction",,110,802,11,--,7
9584,Valued Epistemics,2.6,EdTech,Chennai,5,"Promotions / Appraisal, Salary & Benefits, Company Culture",,110,236,15,--,15
9585,Huber Suhner Electronics,3.9,Electrical Equipment,Gurgaon / Gurugram,6,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Skill Development / Learning",110,509,8,--,11
9586,CDYMAX,3.4,Pharma,Bangalore / Bengaluru,4,"Promotions / Appraisal, Company Culture, Skill Development / Learning",,111,572,7,2,3
9587,Classic Legends,2.9,Pune +19 other locations,,0,"Promotions / Appraisal, Company Culture, Job Security",,110,344,7,--,2
9588,Outlier,3.9,Bangalore / Bengaluru +15 other locations,,0,"Work Life Balance, Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal",110,134,16,2,1
