,name,rating,industry,headquarter,other_locations,highly_rated_for,critically_rated_for,reviews,salaries,interviews,jobs,benefits
181,Jindal Steel Limited,3.9,Iron & Steel,Angul,172,Skill Development / Learning,Promotions / Appraisal,3.9k,15.4k,398,37,328
182,Hindalco Industries,4.2,Metals & Mining,Sambalpur,126,"Job Security, Work Life Balance, Skill Development / Learning",,3.9k,12.2k,278,19,329
183,HDFC Ergo General Insurance,3.9,Insurance,Mumbai,320,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,3.9k,12k,188,24,273
184,DCB Bank,3.8,Banking,Mumbai,338,Work Life Balance,Promotions / Appraisal,3.9k,9.7k,220,12,248
185,State Street Corporation,3.5,Financial Services,Bangalore / Bengaluru,34,"Promotions / Appraisal, Salary & Benefits, Company Culture",,3.9k,30.9k,279,7,261
186,RBL Bank,3.6,Banking,Mumbai,285,"Promotions / Appraisal, Company Culture, Work Satisfaction",,3.9k,18.2k,228,62,221
187,Oyo Rooms,3.1,Internet,Gurgaon / Gurugram,120,"Job Security, Company Culture, Work Satisfaction",,3.9k,14.9k,252,130,389
188,Cummins,4.3,Industrial Machinery,Pune,114,"Company Culture, Work Life Balance, Skill Development / Learning",,3.9k,15.4k,272,14,458
189,Reliance Communications,4.0,Telecom,Mumbai,468,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,3.8k,9.6k,102,--,375
190,Carelon Global Solutions,3.9,IT Services & Consulting,Bangalore / Bengaluru,21,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,3.8k,26.3k,405,28,7
191,Alembic Pharmaceuticals,3.9,Pharma,Vadodara,187,"Salary & Benefits, Work Life Balance",,3.8k,15.3k,245,48,378
192,Pidilite Industries,4.2,Chemicals,Mumbai,309,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.8k,11.3k,248,--,359
193,Bank of America,4.2,Banking,Gurgaon / Gurugram,35,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.8k,27.9k,281,--,412
194,Kogta Financial India Limited,4.7,NBFC,Jaipur,248,"Company Culture, Work Life Balance, Work Satisfaction",,3.8k,1.8k,188,120,31
195,Subros,3.8,Auto Components,Noida,87,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal",3.7k,12.4k,213,1,380
196,Publicis Sapient,3.4,IT Services & Consulting,Bangalore / Bengaluru,47,"Promotions / Appraisal, Job Security, Work Satisfaction",,3.7k,30.7k,678,262,391
197,XpressBees,4.2,Logistics,Pune,472,"Work Life Balance, Company Culture, Work Satisfaction",,3.7k,8k,435,11,176
198,PVR INOX,3.9,Media & Entertainment,New Delhi,150,Job Security,Promotions / Appraisal,3.7k,9.4k,204,17,241
199,American Express,4.1,Financial Services,Gurgaon / Gurugram,53,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,3.7k,24.2k,413,177,435
200,Viatris,4.1,Pharma,Hyderabad / Secunderabad,82,"Salary & Benefits, Job Security, Work Life Balance",,3.7k,14.1k,161,6,500
201,Automatic Data Processing (ADP),3.9,Software Product,Hyderabad / Secunderabad,40,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",3.7k,21.9k,287,28,457
202,Sodexo,4.0,Facility Management Services,Mumbai,155,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,3.7k,9.9k,195,1.5k,375
203,PNB MetLife,3.4,Insurance,New Delhi,418,"Company Culture, Work Satisfaction, Job Security",,3.7k,8k,187,2,215
204,Escorts Kubota Limited,4.1,Automobile,Faridabad,153,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,3.7k,13.1k,278,--,255
205,Aditya Birla Sun Life Insurance,4.0,Insurance,Mumbai,484,"Work Life Balance, Company Culture, Job Security",,3.6k,9.9k,173,1,214
206,Tata Capital,3.9,NBFC,Mumbai,347,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,3.6k,11.3k,187,2.5k,107
207,Kyndryl,3.9,IT Services & Consulting,Bangalore / Bengaluru,36,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,3.6k,25.6k,217,24,163
208,Grasim Industries,4.0,Building Material,Bharuch,237,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,3.6k,12.6k,266,2,267
209,Maersk,4.0,Logistics,Chennai,49,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,3.6k,18.8k,242,38,420
210,Glenmark Pharmaceuticals,3.8,Pharma,Mumbai,179,Promotions / Appraisal,,3.6k,12k,177,127,317
211,Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances,Mumbai,164,Job Security,Promotions / Appraisal,3.6k,15.2k,217,47,412
212,Birlasoft,3.5,IT Services & Consulting,Pune,50,"Promotions / Appraisal, Salary & Benefits, Company Culture",,3.6k,29.4k,312,499,234
213,Cogent E Services,3.1,BPO,Noida,55,"Company Culture, Work Satisfaction, Promotions / Appraisal",,3.6k,10.1k,290,1,220
214,Dabur,3.8,FMCG,New Delhi,318,Salary & Benefits,Promotions / Appraisal,3.6k,8.6k,321,11,275
215,Synechron,3.5,IT Services & Consulting,Pune,32,"Job Security, Promotions / Appraisal, Work Satisfaction",,3.6k,27.6k,401,52,237
216,Samvardhana Motherson Group,3.7,Auto Components,Noida,93,Job Security,"Company Culture, Promotions / Appraisal",3.6k,12.1k,254,17,403
217,Bharat Electronics,4.2,Electronics Manufacturing,Bangalore / Bengaluru,89,"Work Life Balance, Company Culture, Work Satisfaction",,3.6k,12.3k,240,--,312
218,JK Cement,4.0,Building Material,New Delhi,322,Salary & Benefits,,3.6k,9.7k,322,1,257
219,Kotak Mahindara Life Insurance,3.5,Insurance,Mumbai,255,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,3.6k,12.2k,256,264,256
220,Abbott,4.1,Pharma,Mumbai,211,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,3.6k,11.7k,175,300,361
221,KPIT Technologies,3.0,Software Product,Pune,44,"Promotions / Appraisal, Job Security, Work Satisfaction",,3.5k,22.5k,334,6,289
222,Aarti Industries,4.0,Agro Chemicals,Bharuch,58,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.5k,14.2k,321,2,351
223,Reliance Projects & Property Management Services,4.0,IT Services & Consulting,Kolkata,616,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,3.5k,7.3k,201,--,20
224,Ipca Laboratories,3.9,Pharma,Mumbai,160,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",3.5k,11.4k,192,45,245
225,Indian Oil Corporation,4.3,Oil & Gas,New Delhi,308,"Company Culture, Work Life Balance, Work Satisfaction",,3.5k,7.6k,233,--,290
226,MRF Tyres,3.6,Auto Components,Chennai,191,"Company Culture, Work Satisfaction, Work Life Balance",,3.4k,12.3k,362,15,345
227,Alkem Laboratories,3.9,Pharma,Mumbai,194,Salary & Benefits,,3.4k,9.7k,190,31,328
228,Reliance Digital,4.1,Retail,Mumbai,375,"Skill Development / Learning, Job Security, Company Culture",,3.4k,8.1k,159,--,241
229,Johnson Controls,3.5,Industrial Automation,Pune,57,"Promotions / Appraisal, Job Security, Company Culture",,3.4k,17k,295,8,266
230,"NTT DATA, Inc.",3.9,IT Services & Consulting,Bangalore / Bengaluru,34,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,3.4k,21.3k,148,80,624
231,IGT Solutions,3.2,BPO,New Delhi,47,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,3.4k,13.3k,244,69,213
232,Honda Motorcycle & Scooter,4.1,Automobile,Gurgaon / Gurugram,295,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,3.4k,11.1k,192,--,348
233,Vishal Mega Mart,3.7,Retail,New Delhi,374,Salary & Benefits,"Company Culture, Job Security",3.4k,6.1k,196,--,272
234,PhonePe,4.1,FinTech,Bangalore / Bengaluru,384,"Salary & Benefits, Company Culture, Work Life Balance",,3.4k,12.5k,396,20,183
235,Altruist Technologies,4.4,BPO,Bangalore / Bengaluru,43,"Work Life Balance, Job Security, Skill Development / Learning",,3.3k,8.1k,309,11,83
236,Hindustan Coca Cola Beverages,4.0,Beverage,Bangalore / Bengaluru,254,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal,3.3k,7.7k,169,43,377
237,Ford Motor,4.2,Automobile,Chennai,130,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,3.3k,15k,172,--,397
238,ArcelorMittal Nippon Steel,4.1,Iron & Steel,Surat,87,"Work Life Balance, Job Security, Company Culture",,3.3k,11.5k,266,--,111
239,24/7 Customer,3.4,Software Product,Bangalore / Bengaluru,36,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,3.3k,11.5k,181,65,406
240,24/7 Customer,3.4,Software Product,Bangalore / Bengaluru,36,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,3.3k,11.5k,181,65,406
241,DTDC Express,3.7,Logistics,New Delhi,267,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,3.3k,8.5k,190,15,263
242,Reliance Nippon Life Insurance,3.4,Insurance,Mumbai,479,"Job Security, Company Culture, Work Satisfaction",,3.3k,8.2k,162,1,229
243,Ceat Tyres,3.9,Auto Components,Nagpur,141,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",3.3k,12.8k,202,8,346
244,HARMAN,3.8,Consumer Electronics & Appliances,Bangalore / Bengaluru,42,Work Life Balance,Promotions / Appraisal,3.3k,24k,288,99,100
245,RSPL Group,4.0,FMCG,Kanpur,254,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.3k,9.4k,240,29,293
246,ABB,4.1,Industrial Machinery,Bangalore / Bengaluru,106,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,3.3k,17.4k,275,486,346
247,UNO Minda,3.9,Auto Components,Pune,107,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,3.3k,10.8k,226,10,262
248,Indian Air Force,4.5,Defence & Aerospace,New Delhi,135,"Job Security, Skill Development / Learning, Salary & Benefits",,3.2k,5.3k,78,--,354
249,Cloudnine Hospital,4.4,Healthcare,Bangalore / Bengaluru,45,"Skill Development / Learning, Company Culture, Work Life Balance",,3.2k,2.9k,926,7,78
250,NatWest Group,4.0,Banking,Gurgaon / Gurugram,28,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",3.2k,20.4k,233,191,362
251,Barclays,3.7,Banking,Pune,36,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,3.2k,30.3k,302,--,253
252,AGS Health,4.0,Analytics & KPO,Chennai,58,"Company Culture, Job Security, Work Life Balance",,3.2k,14k,200,29,272
253,Marpu Foundation,4.9,Non-Profit,Hyderabad / Secunderabad,62,"Company Culture, Work Life Balance, Work Satisfaction",,3.2k,61,252,--,8
254,InterGlobe Aviation,3.5,Aviation,New Delhi,103,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",,3.2k,13.4k,363,112,315
255,TVS Credit Services Ltd,4.2,NBFC,Chennai,423,"Company Culture, Salary & Benefits, Work Life Balance",,3.2k,7k,149,34,196
256,Conduent,3.4,BPO,Bangalore / Bengaluru,35,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,3.2k,16.7k,224,841,366
257,Blinkit,3.7,Internet,Gurgaon / Gurugram,142,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Job Security",3.2k,11.7k,299,1,202
258,Alstom Transportation,3.7,Engineering & Construction,Bangalore / Bengaluru,80,Job Security,"Promotions / Appraisal, Work Satisfaction",3.2k,14.5k,274,349,173
259,GeBBS Healthcare Solutions,3.7,BPO,Mumbai,26,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.2k,11.3k,174,72,290
260,Tata Technologies,3.5,Engineering & Construction,Pune,55,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,3.2k,22.2k,304,123,308
261,Croma,3.8,Retail,Mumbai,188,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,3.1k,8.8k,173,20,186
262,Tata AIG,4.0,Insurance,Mumbai,258,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,3.1k,11.4k,186,127,245
263,Max Healthcare,3.9,Healthcare,New Delhi,78,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,3.1k,10.2k,180,157,276
264,UPL,4.1,Agro Chemicals,Ankleshwar,184,"Job Security, Work Life Balance, Skill Development / Learning",,3.1k,11k,211,35,293
265,PepsiCo,4.0,Food Processing,Hyderabad / Secunderabad,275,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,3.1k,12.8k,230,227,244
266,Amazon Transportation Services,4.2,Logistics,Hyderabad / Secunderabad,225,"Company Culture, Salary & Benefits, Work Life Balance",,3.1k,8.1k,248,--,246
267,Future Group,4.2,Retail,Mumbai,207,"Skill Development / Learning, Company Culture, Work Life Balance",,3.1k,6.8k,82,--,423
268,Titan Company,4.2,Retail,Bangalore / Bengaluru,182,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,3.1k,9.5k,190,103,339
269,Walmart,3.4,Retail,Bangalore / Bengaluru,93,"Promotions / Appraisal, Work Satisfaction, Job Security",,3.1k,21.6k,432,139,319
270,Bajaj General Insurance Limited,3.8,Insurance,Pune,272,Salary & Benefits,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",3.1k,8.9k,120,38,235
271,Dilip Buildcon,3.9,Engineering & Construction,Bhopal,227,Salary & Benefits,"Job Security, Promotions / Appraisal",3.1k,8k,175,12,296
272,Mankind Pharma,3.8,Pharma,New Delhi,247,Salary & Benefits,,3k,9.3k,242,11,246
273,Varroc Group,3.6,Auto Components,Pune,61,"Promotions / Appraisal, Job Security, Company Culture",,3k,9.3k,214,59,230
274,S&P Global,4.0,Analytics & KPO,Hyderabad / Secunderabad,47,"Company Culture, Work Life Balance",Promotions / Appraisal,3k,20k,323,284,211
275,MSN Laboratories,3.6,Pharma,Hyderabad / Secunderabad,103,Job Security,"Company Culture, Work Satisfaction, Work Life Balance",3k,9.3k,165,36,155
276,Afcons Infrastructure,4.2,Engineering & Construction,Mumbai,120,"Job Security, Skill Development / Learning, Company Culture",,3k,8.4k,258,30,309
277,Jindal Stainless,4.2,Iron & Steel,Jajpur,77,"Job Security, Work Life Balance, Skill Development / Learning",,3k,11.1k,301,9,185
278,Societe Generale Global Solution Centre,3.7,IT Services & Consulting,Bangalore / Bengaluru,24,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3k,22.5k,292,131,293
279,Torrent Pharmaceuticals,4.0,Pharma,Ahmedabad,127,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",3k,10.1k,156,31,310
280,Quest Global,3.5,IT Services & Consulting,Bangalore / Bengaluru,47,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,2.9k,20.8k,344,124,189
281,CMS IT Services,3.1,IT Services & Consulting,Mumbai,152,"Promotions / Appraisal, Salary & Benefits, Company Culture",,2.9k,9.4k,153,35,193
282,Square Yards,3.6,Internet,Gurgaon / Gurugram,51,Job Security,,2.9k,9.1k,224,59,232
283,I Process Services,3.8,Recruitment,Mumbai,405,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",2.9k,5.4k,128,1,127
284,HDFC Sales,3.9,Financial Services,Mumbai,344,"Skill Development / Learning, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",2.9k,8.3k,188,10,190
285,IDFC FIRST Bharat,4.2,Financial Services,Chennai,416,"Salary & Benefits, Company Culture, Work Life Balance",,2.9k,5k,139,12,70
286,Zensar Technologies,3.7,IT Services & Consulting,Pune,28,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits",2.9k,25.5k,273,382,243
287,Shoppers Stop,4.0,Retail,Mumbai,83,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,2.9k,6.9k,135,8,320
288,ACC,3.9,Building Material,Mumbai,265,Promotions / Appraisal,,2.9k,9k,227,22,270
289,Suzlon Group,4.0,Power,Pune,142,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits",2.9k,7.6k,160,16,322
290,DS Group,4.1,FMCG,Noida,277,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,2.9k,6.9k,203,44,207
291,Fujitsu,3.8,IT Services & Consulting,Pune,40,"Work Life Balance, Company Culture",Promotions / Appraisal,2.8k,17.2k,209,115,190
292,ESAF Small Finance Bank,3.6,Banking,Thrissur,435,"Promotions / Appraisal, Work Satisfaction, Company Culture",,2.8k,7.5k,155,34,104
293,Eternal Limited,3.6,Internet,Gurgaon / Gurugram,219,"Job Security, Promotions / Appraisal, Work Life Balance",,2.8k,14.4k,354,10,218
294,Tata Elxsi,3.5,IT Services & Consulting,Bangalore / Bengaluru,30,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,2.8k,22.1k,334,42,202
295,Apollo Tyres,4.0,Auto Components,Chennai,181,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,2.8k,9.7k,147,--,320
296,Nokia,4.0,Telecom,Bangalore / Bengaluru,166,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,2.8k,16k,309,152,537
297,VVDN Technologies,3.6,IT Services & Consulting,Gurgaon / Gurugram,49,"Promotions / Appraisal, Salary & Benefits, Company Culture",,2.8k,13.3k,248,9,127
298,Indus Towers,3.6,Telecom,Gurgaon / Gurugram,236,"Promotions / Appraisal, Job Security, Work Life Balance",,2.8k,8.9k,220,31,202
299,Ola Electric Mobility,3.3,Automobile,Bangalore / Bengaluru,415,"Job Security, Company Culture, Promotions / Appraisal",,2.8k,9.1k,281,--,76
300,UnitedHealth,3.9,Healthcare,Hyderabad / Secunderabad,17,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",2.8k,14.6k,84,--,432
301,Yazaki,3.9,Auto Components,Pune,93,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,2.8k,8.9k,170,2,253
302,IKS Health,3.5,Healthcare,Mumbai,31,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,2.8k,11k,258,35,225
303,Fiserv,2.9,FinTech,Pune,32,"Promotions / Appraisal, Company Culture, Work Satisfaction",,2.8k,17.5k,193,3,311
304,Sagility,3.9,BPO,Bangalore / Bengaluru,27,"Job Security, Company Culture, Work Life Balance","Salary & Benefits, Promotions / Appraisal",2.8k,10.9k,229,44,35
305,Landmark Group,3.8,Retail,Bangalore / Bengaluru,171,Job Security,Promotions / Appraisal,2.7k,9.1k,171,11,267
306,Bharat Financial Inclusion,3.7,Financial Services,Hyderabad / Secunderabad,484,Salary & Benefits,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",2.7k,4.8k,114,1,174
307,Shree Cement,3.8,Building Material,Beawar,252,"Promotions / Appraisal, Job Security",,2.7k,9.8k,200,2,214
308,Whitehat jr,3.3,EdTech,Mumbai,49,"Job Security, Promotions / Appraisal, Company Culture",,2.7k,9.6k,264,--,944
309,Blue Dart Express Ltd,3.9,Logistics,Mumbai,279,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,2.7k,6.6k,122,2,233
310,Britannia,4.0,FMCG,Pune,295,"Job Security, Skill Development / Learning",Promotions / Appraisal,2.7k,8k,213,2,248
311,SRF,4.1,Chemicals,Bharuch,66,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal,2.7k,8.8k,205,18,250
312,Kansai Nerolac Paints,3.8,Chemicals,Mumbai,248,Promotions / Appraisal,,2.7k,7.5k,183,62,189
313,Shell,3.9,Oil & Gas,Bangalore / Bengaluru,90,"Work Life Balance, Company Culture, Salary & Benefits","Promotions / Appraisal, Job Security",2.7k,13.7k,228,8,257
314,Exide Industries,3.4,Auto Components,Kolkata,200,"Promotions / Appraisal, Company Culture, Work Satisfaction",,2.7k,8.5k,207,60,242
315,Flex,3.9,Electronics Manufacturing,Chennai,46,"Company Culture, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",2.7k,15.8k,208,41,439
